scenario,path,key,n_evals,time_total_min,acc_initial,acc_final,max_acc,avg_last10,tail_std,delta_peak_final,loss_final,time_to_90pct_peak,area_under_accuracy_time,time_to_acc_50,time_to_acc_60,acc_at_5000s,max_acc_until_5000s
Sync NON-IID p75,output-cifar-10\accuracy_data_non_iid_compare_5000_eval10_p75_sync.json,75,33,83.7619,0.1093,0.6003,0.6171,0.59834,0.00932595,0.0168,1.68787,2669.91,2440.98,2355.8,3612.23,0.6079,0.6171
Async NON-IID p75,output-cifar-10\accuracy_data_non_iid_compare_5000_eval10_p75_async.json,75,1166,83.5002,0.1,0.5366,0.5372,0.53645,0.000290159,0.0006,1.48595,219.596,2611.35,270.158,,0.5366,0.5372
