scenario,path,key,n_evals,time_total_min,acc_initial,acc_final,max_acc,avg_last10,tail_std,delta_peak_final,loss_final,time_to_90pct_peak,area_under_accuracy_time,time_to_acc_70,time_to_acc_60,acc_at_5000s,max_acc_until_5000s
Sync IID p75,output-cifar-10\accuracy_data_iid_compare_5000_eval10_p75_sync.json,75,33,83.7619,0.2863,0.7786,0.7803,0.77859,0.00116536,0.0017,1.03153,471.161,3781.45,471.161,157.054,0.7786,0.7803
Async IID p75,output-cifar-10\accuracy_data_iid_compare_5000_eval10_p75_async.json,75,1166,83.5002,0.319,0.7481,0.7481,0.7481,0.000129088,0,0.785867,116.527,3715.85,154.973,60.3719,0.7481,0.7481
