scenario,path,key,n_evals,time_total_min,acc_initial,acc_final,max_acc,avg_last10,tail_std,delta_peak_final,loss_final,time_to_90pct_peak,area_under_accuracy_time,time_to_acc_80,time_to_acc_70,acc_at_5000s,max_acc_until_5000s
Sync NON-IID p75,output-fashion-mnist\accuracy_data_non_iid_compare_5000_eval10_p75_sync.json,75,33,83.7619,0.3771,0.8427,0.8857,0.84612,0.0222378,0.043,0.781547,1256.43,4067.94,1256.43,314.107,0.8121,0.8857
Async NON-IID p75,output-fashion-mnist\accuracy_data_non_iid_compare_5000_eval10_p75_async.json,75,1170,83.7619,0.1,0.8132,0.8411,0.8132,0.00129147,0.0279,0.548372,92.3707,4022.19,112.337,43.8089,0.8132,0.8411
