scenario,path,key,n_evals,time_total_min,acc_initial,acc_final,max_acc,avg_last10,tail_std,delta_peak_final,loss_final,time_to_90pct_peak,area_under_accuracy_time,time_to_acc_80,time_to_acc_90,acc_at_5000s,max_acc_until_5000s
Sync IID p75,output-fashion-mnist\accuracy_data_iid_compare_5000_eval10_p75_sync.json,75,33,83.7619,0.7396,0.9359,0.9361,0.93504,0.00103508,0.0002,0.322398,157.054,4651,157.054,314.107,0.935,0.9361
Async IID p75,output-fashion-mnist\accuracy_data_iid_compare_5000_eval10_p75_async.json,75,1170,83.7619,0.757,0.9287,0.9291,0.9287,4.89368e-05,0.0004,0.213556,16.5679,4657.22,7.40818,85.1454,0.9287,0.9291
