scenario,path,key,n_evals,time_total_min,acc_initial,acc_final,max_acc,avg_last10,tail_std,delta_peak_final,loss_final,time_to_90pct_peak,area_under_accuracy_time,time_to_acc_80,time_to_acc_90,acc_at_5000s,max_acc_until_5000s
Sync NON-IID p75,output-mnist\accuracy_data_non_iid_compare_5000_eval10_p75_sync.json,75,33,83.7619,0.4655,0.9881,0.9907,0.98986,0.000803465,0.0026,0.0393711,157.054,4903.23,157.054,157.054,0.9902,0.9907
Async NON-IID p75,output-mnist\accuracy_data_non_iid_compare_5000_eval10_p75_async.json,75,1170,83.7619,0.0892,0.9807,0.9807,0.9807,7.5641e-05,0,0.0601704,38.7193,4893.99,38.7193,43.8089,0.9807,0.9807
