scenario,path,key,n_evals,time_total_min,acc_initial,acc_final,max_acc,avg_last10,tail_std,delta_peak_final,loss_final,time_to_90pct_peak,area_under_accuracy_time,time_to_acc_95,time_to_acc_98,acc_at_5000s,max_acc_until_5000s
Sync IID p75,output-mnist\accuracy_data_iid_compare_5000_eval10_p75_sync.json,75,33,83.7619,0.9293,0.9953,0.9953,0.99495,0.000298142,0,0.0241386,15.7054,4975.77,157.054,157.054,0.9953,0.9953
Async IID p75,output-mnist\accuracy_data_iid_compare_5000_eval10_p75_async.json,75,1170,83.7619,0.9422,0.9937,0.9941,0.9937,3.88578e-15,0.0004,0.0199228,1.35745,4990.45,7.40818,30.2146,0.9937,0.9941
